<<<<<<< HEAD
"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"May-2015",2015,5,"SouthCentral",0.120555555555556,0.588373166666667,0.321309222222222,0.0911111111111111,0.35,0.794444444444444,0.153888888888889,20.5056842065263,0.356180718844169,10.5619999960873,8.0514,3.78590956410256,7.63349980432005,NA,226930,10506,287711,1.29307692307692,6.61566615384615,17.4972307692308,0
"May-2015",2015,5,"Suisun Bay",0.0933333333333333,NA,0.54,0.103333333333333,0.366666666666667,0.666666666666667,0.15,17.4896773701329,11.2306733055572,30.0476190203712,8.23333333333333,2.22,7.9,NA,226930,10506,287711,1.08103448275862,7.09594482758621,0,3.22206896551724
"May-2015",2015,5,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,17.904999961853,6.06263474404651,31.9999998266047,7.59545454545455,3.07,7.82428083920579,NA,226930,10506,287711,5.49727272727273,37.4914090909091,15.41,18.9763636363636
"Jun-2015",2015,6,"Confluence",0.0577777777777778,2.25,0.524444444444444,0.0822222222222222,0.257142857142857,0.466666666666667,0.13,21.2712403219744,2.2227887052427,19.2669564495416,8.029375,2.59071428571429,7.65301464342878,2,206580,5737,276476,1.18666666666667,1.58666666666667,14.3033333333333,0.123333333333333
"Jun-2015",2015,6,"North",0.21,1.06752848,0.242102857142857,0.106285714285714,0.28,0.648571428571429,0.166571428571429,22.9131250033929,0.165147694257895,46.835490198422,7.12810126582279,2.40571428571429,7.91613978267654,1,206580,5737,276476,NA,NA,NA,NA
"Jun-2015",2015,6,"SouthCentral",0.0429411764705882,0.860476333333333,0.285112176470588,0.0788235294117647,0.3,0.523529411764706,0.122352941176471,24.4333333519894,0.40014119347974,7.52374997921711,6.66311475409836,3.31948717948718,7.55490025879003,3,206580,5737,276476,0.206666666666667,0.223333333333333,1.60333333333333,0
"Jun-2015",2015,6,"Suisun Bay",0.0733333333333333,NA,0.583333333333333,0.1,0.433333333333333,0.6,0.153333333333333,20.2276922783485,11.5136625952667,26.5517242102787,7.7,2.89,7.80977153860398,1,206580,5737,276476,1.755,2.16,0,5.41
"Jun-2015",2015,6,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,21.2555555696841,8.24289159690296,25.4058823192821,7.27083333333333,5.115,7.74712810462011,1,206580,5737,276476,NA,NA,NA,NA
"Jul-2015",2015,7,"Confluence",0.037,2.1,0.43,0.088,0.2875,0.47,0.128,22.3504958802456,2.30404718069908,21.2952380859693,7.76809523809524,4.52235292715185,7.64620475147765,2,244470,3779,305633,0.916666666666667,1.17333333333333,8.44666666666667,0.143333333333333
"Jul-2015",2015,7,"North",0.157958741935484,0.69642392,0.153870967741935,0.0890322580645161,0.257960666666667,0.551612903225806,0.14,23.5027906407779,0.210047157585506,25.6352458947879,7.54325581395349,3.62571415969303,7.68847706487298,2,244470,3779,305633,NA,NA,NA,NA
